Class,TP,FP,FN,TN,Precision,Recall,F1Score,FalsePositiveCount,FalseNegativeCount
Low,117,2,13,258,0.983193277310924,0.9,0.939759036144578,2,13
Medium,127,16,3,244,0.888111888111888,0.976923076923077,0.930402930402931,16,3
High,127,1,3,259,0.9921875,0.976923076923077,0.984496124031008,1,3
