Class,TP,FP,FN,TN,Precision,Recall,F1Score,FalsePositiveCount,FalseNegativeCount
Low,133,7,7,257,0.95,0.95,0.95,7,7
Medium,125,22,8,249,0.850340136054422,0.93984962406015,0.892857142857143,22,8
High,116,1,15,272,0.991452991452991,0.885496183206107,0.935483870967742,1,15
