Model,Accuracy,MacroPrecision,MacroRecall,MacroF1,HighPrecision,HighRecall,SelectionScore
Decision Tree,0.905128205128205,0.905086779841252,0.905128205128205,0.904914595583967,0.940298507462687,0.969230769230769,0.924209447678008
Random Forest,0.935897435897436,0.93673221476265,0.935897435897436,0.9359061260742,0.933823529411765,0.976923076923077,0.948211211328863
Gradient Boosting,0.941025641025641,0.941517403860769,0.941025641025641,0.940982291446688,0.933823529411765,0.976923076923077,0.951764527089604
KNN,0.930769230769231,0.934241720659044,0.930769230769231,0.931287182337766,0.984251968503937,0.961538461538462,0.940362566097975
SVM,0.951282051282051,0.954497555140937,0.951282051282051,0.951552696859506,0.9921875,0.976923076923077,0.959163810878577
