Class,TP,FP,FN,TN,Precision,Recall,F1Score,FalsePositiveCount,FalseNegativeCount
Low,136,3,1,264,0.97841726618705,0.992700729927007,0.985507246376812,3,1
Medium,134,4,9,257,0.971014492753623,0.937062937062937,0.953736654804271,4,9
High,121,6,3,274,0.952755905511811,0.975806451612903,0.964143426294821,6,3
