MeanTempError,MaxTempError,TempFluctuation,AvgHeaterPower,AvgConveyorSpeed,PeakMotorCurrent,RMSVibration,OperatingHours,QualityScore,MaintenanceScore,QualityRisk,MaintenanceRisk
7.22486793548314,14.1028729675146,1.04067578508894,10.6849019400021,0.850312643983016,2.8107935211663,0.179729849666403,500.039106919156,0.0512935875729554,0.158156347290805,Low,Low
9.53051392613882,16.987512565938,4.09840570021437,21.8579842893752,0.850870701827211,2.82154819731201,0.18110779407961,500.109106546105,0.09672690114084,0.192903732157005,Low,Low
11.5837952776969,16.987512565938,9.30364563071741,39.4072875162025,0.851740592010807,2.83203814616689,0.182130896141154,500.218741333331,0.156338584885362,0.242800824643841,Low,Low
13.4724517688716,16.987512565938,11.3262319562411,58.2916419812718,0.852683120197997,2.83203814616689,0.182651464873587,500.337688964837,0.183124227308755,0.291138946908039,Low,Low
14.8172763396994,16.987512565938,10.7235931441615,76.1443492777716,0.853566720409169,2.83241148115609,0.182150160580123,500.449297180222,0.181612340923517,0.334965136678128,Low,Low
15.1900184936804,16.987512565938,7.61886888267345,90.8786067616428,0.85430488896702,2.83352842879276,0.180545856502867,500.542811279114,0.151826300475639,0.36902876493782,Low,Low
14.4728019381359,16.3876530165758,3.89758228454408,98.6281460299148,0.854815693851877,2.8375227819723,0.182704646876241,500.608082427452,0.111045934748135,0.394288964590889,Low,Low
13.4453645144708,14.9261495201372,7.85127691759995,100,0.855279374862434,2.84801165860399,0.185780050814782,500.668433837341,0.145497058476346,0.407861525503469,Low,Low
12.4665053762876,14.4120835269847,12.8278519981914,100,0.855964766645912,2.85832774511108,0.190092366317119,500.75913665712,0.193246113653466,0.42046084356334,Low,Medium
11.3376895219752,14.2077079715681,17.1522610219559,100,0.856928558156128,2.86843391472217,0.195093832335051,500.88878524723,0.235094710844577,0.43440044913996,Low,Medium
10.1713837056706,13.4252755125767,19.4142794488024,100,0.858142238884598,2.87829379614002,0.197029972255449,501.055271148338,0.254610806533467,0.442072899189897,Low,Medium
9.39141785133188,10.975342974276,18.7373238441943,100,0.859525350102696,2.88787190443892,0.198551249392272,501.25,0.241040055236506,0.448819676265434,Low,Medium
9.6924179575809,12.9108360374406,17.4482892961735,100,0.860888280749077,2.89713376877211,0.199559812207942,501.45,0.235389847313225,0.454415739031881,Low,Medium
10.1524848875323,13.4218450550964,15.8755341547204,100,0.862181563556069,2.90604605642961,0.198925109225156,501.65,0.223486968981624,0.456559132401231,Low,Medium
10.0064527549707,13.4218450550964,14.4608522576852,100,0.863396925927169,2.91457669279995,0.198731242850441,501.85,0.210184575901623,0.459452637604023,Low,Medium
9.15452232780429,13.4218450550964,13.4936128969133,100,0.864526593690755,2.9226949768042,0.201481166783849,502.05,0.199487094904939,0.468146584364221,Low,Medium
7.42787240717458,13.4218450550964,12.5764906900459,100,0.86556334082825,2.93037169138663,0.20263740527609,502.25,0.186886522467909,0.473454047574388,Low,Medium
5.31756780094203,13.4218450550964,11.4029523929174,100,0.866500535695982,2.93757920866459,0.202061084922043,502.45,0.170536169366017,0.475083949478722,Low,Medium
3.78693306992133,9.53765598653757,10.7797588557413,100,0.867332183445075,2.94429158935908,0.2024943079246,502.65,0.151138857057794,0.478572012002299,Low,Medium
3.36434510632412,5.95286146296536,9.90465584018467,100,0.868052964368019,2.95048467614809,0.205872985575399,502.85,0.132718185837786,0.487824263740537,Low,Medium
4.19333927367912,8.5175746791142,9.4232994486143,100,0.868658267926649,2.95613618060692,0.205648074762691,503.05,0.137380063933918,0.489588369687489,Low,Medium
5.82498735358334,9.00213854531285,8.84095883301342,100,0.869144222243851,2.96122576342241,0.204089681834479,503.25,0.137585923374462,0.488447612888886,Low,Medium
7.22900539763181,9.07951839868164,7.69960563452396,100,0.869507718870366,2.9657351075925,0.202993653446432,503.45,0.130280699068902,0.488026933973841,Low,Medium
8.06833852655178,9.07951839868164,7.05512434526512,100,0.869746432668254,2.96964798434771,0.201778804235899,503.65,0.126206721692017,0.487144994199882,Low,Medium
8.69979203173987,9.61802520371924,6.34076693594338,100,0.869858836683844,2.97295031155709,0.197046630315747,503.85,0.122109363851624,0.47892380918257,Low,Medium
8.7370841722715,9.61802520371924,5.97174194291488,100,0.869844211915028,2.9756302044088,0.194476252861004,504.05,0.118422530197055,0.474843817701176,Low,Medium
8.48298487134302,9.61802520371924,5.77660161239899,100,0.869702651910418,2.97767801818249,0.192637274562641,504.25,0.115586029819472,0.472008765593911,Low,Medium
8.15806522266982,9.61802520371924,5.2532264493511,100,0.869435062170954,2.97908638295996,0.192813404694093,504.45,0.109055579209194,0.473011957639744,Low,Medium
7.41336357182229,9.61802520371924,4.68135259551034,100,0.86904315435779,2.97985023014887,0.192418873691039,504.65,0.100771585657156,0.472622334829161,Low,Medium
6.41686264881405,8.56303895361751,4.42561064206806,99.61408958104,0.868529435343506,2.97998950964139,0.191057617098749,504.85,0.0921691373742988,0.46908155385257,Low,Medium
5.11001749262903,7.90714480060305,3.869124974667,98.4751232372765,0.867897191176671,2.97998950964139,0.187920249189086,505.05,0.0805665123898013,0.460014719027485,Low,Medium
