Feature,Importance
MeanTempError,0.0133333333333333
MaxTempError,0.0164102564102564
TempFluctuation,0.0246153846153846
AvgHeaterPower,0.312820512820513
AvgConveyorSpeed,0.0538461538461538
PeakMotorCurrent,0.232820512820513
RMSVibration,0.246666666666667
OperatingHours,0.133846153846154
