Model,Accuracy,MacroPrecision,MacroRecall,MacroF1,HighPrecision,HighRecall,SelectionScore
Decision Tree,0.902313624678663,0.901711250510731,0.902067183462532,0.900868900140833,0.905797101449275,0.961538461538462,0.919069768560122
Random Forest,0.922879177377892,0.924181547619048,0.922838401908169,0.923260585506225,0.976190476190476,0.946153846153846,0.930128563700511
Gradient Boosting,0.933161953727506,0.932804836518778,0.933035181872391,0.93279990278738,0.946564885496183,0.953846153846154,0.939113778105012
KNN,0.87146529562982,0.87015568089421,0.871138938580799,0.868939555992197,0.877697841726619,0.938461538461538,0.889796150732999
SVM,0.938303341902314,0.938374964111398,0.938223017292785,0.938063650207779,0.948148148148148,0.984615384615385,0.952029170530061
